date,CPI,Unemployment rate,Employment rate,Mortage,Rent
14-Aug,125.5,7.5,62.1,4.01,117.3
14-Sep,125.7,6.3,61.7,4.02,117.5
14-Oct,125.9,6,61.7,4,117.7
14-Nov,125.7,6.2,61.4,4,117.8
14-Dec,125.5,6.2,61,3.98,117.9
15-Jan,125.1,7,60.2,3.96,117.9
15-Feb,125.5,7.2,60.3,3.91,118.1
15-Mar,126.1,7.4,60.2,3.84,118.2
15-Apr,125.8,7.1,60.6,3.76,118.3
15-May,126.3,7.1,62,3.74,118.3
15-Jun,126.8,6.5,62.6,3.72,118.4
15-Jul,127.1,7.1,62.3,3.71,118.5
15-Aug,127.1,7.5,62.2,3.71,118.6
15-Sep,127,6.4,61.6,3.71,118.7
15-Oct,127.2,6.3,61.6,3.72,118.8
15-Nov,127.3,6.6,61.2,3.72,118.8
15-Dec,127.4,6.7,60.9,3.75,118.9
16-Jan,127.5,7.5,60,3.76,118.9
16-Feb,127.3,7.7,60.1,3.75,119
16-Mar,127.7,7.7,60.1,3.73,119
16-Apr,127.9,7.5,60.4,3.7,119
16-May,128.3,6.9,61.8,3.67,119.1
16-Jun,128.6,6.4,62.3,3.66,119.1
16-Jul,128.5,7.2,61.8,3.67,119.1
16-Aug,128.6,7.6,61.7,3.68,119.3
16-Sep,128.8,6.4,61.4,3.67,119.3
16-Oct,129.1,6.3,61.5,3.68,119.4
16-Nov,128.9,6.3,61.2,3.7,119.4
16-Dec,129.3,6.4,61,3.74,119.5
17-Jan,130.1,7.2,60.4,3.73,119.5
17-Feb,129.9,7,60.5,3.75,119.6
17-Mar,129.7,7.2,60.5,3.66,119.7
17-Apr,130.1,6.8,60.7,3.62,119.7
17-May,129.9,6.6,62.2,3.59,119.8
17-Jun,129.9,6,62.8,3.6,119.9
17-Jul,130.1,6.5,62.5,3.72,119.9
17-Aug,130.4,6.8,62.3,3.82,120
17-Sep,130.7,5.6,61.8,3.89,120.1
17-Oct,130.9,5.7,61.9,3.98,120.2
17-Nov,131.7,5.4,61.8,4.04,120.3
17-Dec,131.8,5.3,61.7,4.07,120.4
18-Jan,132.3,6.2,60.6,4.14,120.5
18-Feb,132.6,6.1,60.7,4.26,120.7
18-Mar,132.7,6.3,60.7,4.27,120.8
18-Apr,132.8,6.1,61,4.27,120.9
18-May,132.9,5.9,62.1,4.35,121.1
18-Jun,133.1,5.7,62.7,4.32,121.2
18-Jul,133.7,6,62.5,4.42,121.3
18-Aug,133.9,6.6,62.1,4.43,121.6
18-Sep,133.8,5.4,61.7,4.43,121.7
18-Oct,134.2,5.3,61.7,4.48,121.8
18-Nov,134,5.2,61.8,4.38,122
18-Dec,134.3,5.2,61.6,4.59,122.1
19-Jan,134.2,6.2,60.8,4.59,123.2
19-Feb,134.7,6.1,61.1,4.52,123.7
19-Mar,135.2,6.2,61,4.44,124.1
19-Apr,135.6,5.9,61.6,4.33,123.6
19-May,136,5.5,62.7,4.3,123.7
19-Jun,135.9,5.2,63.2,4.23,124.1
19-Jul,136.5,5.9,62.7,4.14,124.4
19-Aug,136.4,6.3,62.7,4.08,125.3
19-Sep,136.3,5,62.4,4.07,125.3
19-Oct,136.7,5,62.3,4.09,126.3
19-Nov,136.8,5.5,61.8,4.09,125.8
19-Dec,137.3,5.1,61.7,4.08,126.3
1-Jan,94,7.3,59.6,8.34,96
1-Feb,94.3,7.3,59.9,8.43,96.1
1-Mar,94.8,7.3,60.1,8.24,96.2
1-Apr,94.4,7.1,60.4,8.23,96.3
1-May,94.7,6.7,61.9,8.5,96.4
1-Jun,95.3,6.3,62.5,8.34,96.5
1-Jul,95.6,7,62.7,8.18,96.6
1-Aug,95.5,7.2,62.6,8.08,96.7
1-Sep,95.9,6.3,61.6,8.08,96.8
1-Oct,96.3,6.4,61.6,8.08,96.9
1-Nov,96.8,6.5,61.3,8.04,97.1
1-Dec,97,6.4,61.1,7.81,97.2
1-Jan,96.8,7.5,59.9,7.58,97.3
1-Feb,96.9,7.5,60,7.52,97.4
1-Mar,97.1,7.6,60.1,7.19,97.6
1-Apr,97.8,7.4,60.5,7.22,97.7
1-May,98.4,7.1,61.9,7.38,97.8
1-Jun,98.4,6.7,62.4,7.47,98
1-Jul,98.1,7.3,62.6,7.46,98.1
1-Aug,98.2,7.5,62.4,7.39,98.4
1-Sep,98.4,6.6,61.3,7.03,98.5
1-Oct,98.1,6.7,61.3,6.74,98.7
1-Nov,97.4,7.1,60.9,6.51,98.9
1-Dec,97.7,7.6,60.5,6.64,99
2-Jan,98.1,8.7,59.6,6.62,99.1
2-Feb,98.4,8.5,59.8,6.59,99.3
2-Mar,98.8,8.4,60.2,6.8,99.4
2-Apr,99.5,8,60.6,7,99.5
2-May,99.4,7.9,62.1,7,99.7
2-Jun,99.6,7.1,63,6.98,99.9
2-Jul,100.3,7.8,63.3,6.9,100
2-Aug,100.7,7.7,63.4,6.61,100.3
2-Sep,100.8,6.9,62.4,6.49,100.5
2-Oct,101.3,6.9,62.3,6.5,100.7
2-Nov,101.6,7.1,62.1,6.47,100.8
2-Dec,101.5,7.1,62,6.39,100.9
3-Jan,102.4,8.1,60.9,6.26,101
3-Feb,102.9,7.9,61.3,6.29,101
3-Mar,103,7.8,61.4,6.33,101.1
3-Apr,102.3,7.9,61.5,6.44,101.2
3-May,102.1,8,62.7,6.1,101.3
